,Question Asked,Agency
2884,foreign domestic worker missing,SPF
2885,Hi may I ask this company is valid2084555,IRAS GST
2886,what are the information needed in a debit note,IRAS GST
2887,Hi Jamie can I reprint my reentry permit,ICA
2888,Is the I CA open today,ICA
2889,How to update ICA if I have renew my passport during PR application,ICA
2890,Will u have another registration for international student,MOE
2891,We moved to new place less than 30 months within one km,MOE
2892,where can i find the mortgage loan,IRAS IIT
2893,Can I apply for a visa at Changi Airport,ICA
2894,How can i sent my deferment letter,MINDEF
2895,how to i send the ops manning details to my empolyer,MINDEF
2896,I need my pdl,SPF
2897,make chq payable to,IRAS IIT
2898,What license must I apply for selling cakes,AVA
2899,how to search a company is registered,ACRA
2900,I am PR checking for apply Singapore citizen how to find our National Service Certificate of Service,ICA
2901,are subscription fees disallowable business expenses,IRAS IIT
2902,Hello I want to clarify the 6 month passport validity requirement for entry,ICA
2903,insurance renewed many months ago,LTA
2904,I need a contact number to call the licensing department number,SPF
2905,how to check if NRIC is valid,ICA
2906,I cannot update my bank information,MINDEF
2907,what is the difference between void invoice and credit not for GST submission,IRAS GST
2908,how do i check whether a company has been liquidated,ACRA
2909,Im lookng for my log card,LTA
2910,my acra ard overdue for 4months can i renew it now,ACRA
2911,how to fill up the company limited by gurantee form,ACRA
2912,if I want to register a lion and dragon dance troupe do I register with ACRA,ACRA
2913,hi my appeal for coc has been approved and paid already the required payment may I know who is the authorized to have my fingerprints,SPF
2914,how to get a copy logcard,LTA
2915,how to calculate pay for reservist,MINDEF
2916,Object to assessment 2018,IRAS IIT
2917,When does current cat B pqp of 35 411 be replaced by new pqp Which is the last day to renew at 35411,LTA
2918,if I have the address of the company can I find company info,ACRA
2919,Hi is it compulsory to change my official address after marriage although the house is under my husband motherinlaw,ICA
2920,strike off and close down,ACRA
2921,can i transfer my tcoe under cat c,LTA
2922,I not yet collect my n level cert from school Where can collect it from after leaving secondary school,MOE
2923,I got paid tax 517 due to leave the job less than 6 months now i have employed another employer So may i know if there is any possible to waiver the tax,IRAS IIT
2924,If my passport expire on 26 Jan 2020 Can I still go Bintan with this passport on 11 Aug 19,ICA
2925,I have a new NRIC number,LTA
2926,can I still submit DSA,MOE
2927,Coe expires 15319 when is latest date I must renew the Coe,LTA
2928,e is in long term pass,ICA
2929,Hi I am interested in Volunteer Special Constabulary,SPF
2930,Will I receive an email from SkillsFuture after my claim has been approved,SSG
2931,what happens if one fails to submit income tax,IRAS IIT
2932,what is the email at AVA to lodge a complaint on food contamination of a bottle of coconut water bought at NTUC,AVA
2933,hi I work for grab earn 645468 dont know key in where,IRAS IIT
2934,cost for certificate of clearance,SPF
2935,where can i find the list of the demerits points for different offence,SPF
2936,How do I as a parent renew my childs student pass who is studying in a PEI,ICA
2937,register charge trade marks,ACRA
2938,how to file dummy company annual report tks,ACRA
2939,Can I getbuy online a copy of my company profile,ACRA
2940,I just got my pink IC today can I apply passport on line,ICA
2941,how to renew expired liquor licence,SPF
2942,how do i change share capital,ACRA
2943,What is ippt window,MINDEF
2944,i wish to pay my income tax via installment method how do I proceed from here,IRAS IIT
2945,How to remove myself as a director,ACRA
2946,But its not loading,MINDEF
2947,additional passport on REP,ICA
2948,I would like to check with you regarding Basic Theory Test booking if we are a foreigner and would like to convert foreign license to Singapore driving license,SPF
2949,im Bahraini citizen do i have to apply for visa,ICA
2950,recovery payment,MINDEF
2951,when i need to preenlistment documentation and medical screening,MINDEF
2952,How to update photo of driving license,SPF
2953,how to check pr application staus,ICA
2954,how to convert the vehicle scheme,LTA
2955,can i travel overseas during my basic military training,MINDEF
2956,I retired on 30 Sep 2018 am I required to report to iras,IRAS IIT
2957,steps to becoming a training provider,SSG
2958,do company still to hold an AGM every year,ACRA
2959,if i were to renew my vehicle above 1600cc how much will it be,LTA
2960,how to view employees hygiene certificate,SSG
2961,What is the distinction between LLP and LP,ACRA
2962,how much is my tax in 2018,IRAS IIT
2963,Replace vrn for new car any requirement,LTA
2964,I would like an update to against a police report,SPF
2965,i would like to report unwanted sms from loan company,SPF
2966,how to request for pes status,MINDEF
2967,Hi how do I check for my upcoming ict dates Under which tab,MINDEF
2968,can I change my company sole proprietor to Priviate Limited,ACRA
2969,How to submit medical examination report,SPF
2970,how to check the claim amount,MINDEF
2971,I am an EP pass holder who enetered Singapore in Jan 2019 am I eligible to claim GST in May 2019,IRAS GST
2972,what if I cant log in to NSmen Payments Employer,MINDEF
2973,employment pass address update,ICA
2974,Change of address. How do I go about,LTA
2975,i left moe counsellor position in 2011 am i eligible to apply again how long do they keep the records,MOE
2976,is QCR only for locals,IRAS IIT
2977,multi entry visa with old passport,ICA
2978,How about email to the police,SPF
2979,how long until i book out after i enlist,MINDEF
2980,How to register for twins primary 1,MOE
2981,who are local contact,ICA
2982,Can I move my car park in private housing estate,LTA
2983,How can I know lastest car plate number for bid do,LTA
2984,if my birth certficate is Malay,ICA
2985,Can we claim GST for employee dining cost,IRAS GST
2986,can you give me the website address for DIPS,SPF
2987,Why i need Local Sponsor,ICA
2988,Where can I buy Army related items,MINDEF
2989,What time can I apply on jae,MOE
2990,Bidding smk,LTA
2991,I WANT APPLY VISA,ICA
2992,How to differentiate a principal or an agent under the Reimbursement and Disbursement of expenses,IRAS GST
2993,is IR8A only apply to tax resident in singpaore,IRAS IIT
2994,report scam website,SPF
2995,can i buy the Certificate Confirming Incorporation of,ACRA
2996,Hi Jamie I have a question about the 96 hrs free transit visa,ICA
2997,How do I update changes for my business address,ACRA
2998,is Demurrage charges subject to GST,IRAS GST
2999,Hihow do i file my tax,IRAS IIT
3000,DOES APPLICANT MUST BE IN SINGAPORE DURING HIS APPLICATION FOR LONG TERM VISIT PASS,ICA
3001,Hi i just want to know if if i need a visa to visit singapore for 3 days,ICA
3002,Need to obtain certification by ACRA,ACRA
3003,can my son skip primary school and start secondary school in singapore,MOE
3004,I have renewed my malaysia passport do I need update ica,ICA
3005,ns payment service pay,MINDEF
3006,Hiif I heard some one want to kill me howhis from china,SPF
3007,I want to renew my farm licence,AVA
3008,If i reporting a case on behalf for my mom do i use my own singpass or my moms singpass,SPF
3009,how to pay or offence,SPF
3010,how to close register,ACRA
3011,I had finished my SkillsFuture Credit so when will the next top up,SSG
3012,where can I get National code for submission of employee income tax,IRAS IIT
3013,jamie i m malaysia which i have been work in singapore for 14Years I m back to malaysia and did not come back to singapore now,IRAS IIT
3014,how to claim enhanced subsidy,SSG
3015,I already had 2B licence and i have foreign class 3 licence can i convert or upgrade to class 3 in singapore,SPF
3016,hi Jamie do i have to make police report for entry permit loss,SPF
3017,Does my ippt session has been cancelled,MINDEF
3018,I am renewing my coe for 5 years and I saw two different figures for the PQP one is Jan 2019 and the other is Feb 2019 which is lower cost which one do I choose,LTA
3019,Scholarship for higher NITEC,SPF
3020,how to update registered office,ACRA
3021,How work permit holder file the tax,IRAS IIT
3022,fingerprint form,SPF
3023,Transfer of private number plate to company,LTA
3024,commission pay in Jan 2019 for service rendered in 2018,IRAS IIT
3025,my company would like to register a new partner how to do it,ACRA
3026,how to print members register,ACRA
3027,Number of cycle left,MINDEF
3028,how long before i received my purchased acra,ACRA
3029,tax clearance for associations,IRAS IIT
3030,how to cancel ipt booking,MINDEF
3031,How do I check the number of demerit points I have accumulated under the Vocational Licence Point System,LTA
3032,how to search for company name,ACRA
3033,who is accredited tax advisor gst,IRAS GST
3034,Can an adult change his race to a doublebarrelled one,ICA
3035,endorsement needed for change of secretary,ACRA
3036,can a non director strike off a company,ACRA
3037,is my registration for escooter successful,LTA
3038,NTUCs e2i yishun,SSG
3039,how to get a course to be accredited as WSQ course,SSG
3040,Im having problem to login to mytax portal,IRAS IIT
3041,how do i print my food handlers certificate,SSG
3042,Can I drive without physical licence,SPF
3043,how to input donations,IRAS IIT
3044,want to renew business registration but dont have corppass,ACRA
3045,HOW TO GET TAX RESIDENCE CERTIFICATE,IRAS IIT
3046,Can I submit nonresident Certificate of Residence online,IRAS IIT
3047,I not sure my tax filed,IRAS IIT
3048,can pr still get annual leave passage,IRAS IIT
3049,I am changing job in Singapore and have GIRO arrangement,IRAS IIT
3050,What is a valid corporate bank account,ACRA
3051,HOW MUCH COE WILL I GET BACK FOR SCRAP,LTA
3052,amend document for pr application,ICA
3053,Hello I have a business document need to be endorse by ACRA may i check on the process on this,ACRA
3054,i want to download certificate that i purchase yesterday,ACRA
3055,how do i register my organization as a training provider,SSG
3056,supply of manpower at Singapore anchorage zero rated or standard rated,IRAS GST
3057,can i have a hotline number,SPF
3058,Phase 2B include the 20,MOE
3059,What is the procedures for change of name for 21 years old and below,ICA
3060,How can I apply Good citizen card on line,SPF
3061,hi can i deregister online for a vehicle that has a coe rebate and then take the car to the scrap yard,LTA
3062,How can I feedback on my vehicle IU that I have already done the inspection and I just received Notice of traffic offence,LTA
3063,All of these 147 list of DSA secondary school on this website they r all eligility to choose from when we submit our choices of 3 DSA sec right,MOE
3064,whats the address for head investigation traffic police,SPF
3065,Bring my cat from Japan,AVA
3066,Is Animal Communications workshop under the approved skillsfuture credit,SSG
3067,I have one key token but I can not access to Iras Tax,IRAS IIT
3068,If the road there is a hump whats the speed,LTA
3069,is the 500 dollars of skills future credit can be paid to other programmes like skills future midcareer enhanced subsidy,SSG
3070,What is your email I am living in melbourne australia n wish to forward a letter to you as advised by cpf Thank you,ICA
3071,see my latest nsf payslip,MINDEF
3072,qualified individual to file,ACRA
3073,My passport expired on31january 2020 and I m going Malaysia on 1472018 is it still consider more than 6 month Thanks you,ICA
3074,I cant access the ehealth website,MINDEF
3075,I would like to renew my passport How do I go about doing it online,ICA
3076,No do I need to submit XBLR since my comapany iis inactive,ACRA
3077,How do I check my exit permit approval,MINDEF
3078,my invoice was for job done in november 2018,IRAS GST
3079,can I apply for CoC in person,SPF
3080,may i have your email address for individual income tax,IRAS IIT
3081,how to download food hygiene certificate,SSG
3082,As a Singaporean if my overseas income is received in Singapore even though I am mostly not based in Singapore can I still choose to declare my taxes in Singapore,IRAS IIT
3083,how to update my new passport number in ICA,ICA
3084,what is a email address of IRAS,IRAS IIT
3085,how to i view the Bizfile purchased,ACRA
3086,I just send payment to renew my car insurance on 25319 because I was oversea not in Singapore last few week thanks,LTA
3087,what is domant company,ACRA
3088,will my new employer update my tax submission,IRAS IIT
3089,Enquire validity of Road tax,LTA
3090,how to apply for a Singapore baby passport,ICA
3091,How do I know if I am chosen for which unit,MINDEF
3092,89DAY SHORT TERM VISIT PASS HOW MUCH FEES,ICA
3093,date of audited financial statement after AGM date,ACRA
3094,I was late for my GIRO payment,IRAS IIT
3095,buy iu unit,LTA
3096,I just apply QDL how long will it take to mail,SPF
3097,renew passport and new IC When can I expect to receive as I have committed to travel in 1st week of Sep,ICA
3098,with holding tax deadline,IRAS IIT
3099,How can I zerorate the GST to my customer if they handcarry the items by ferry,IRAS GST
3100,Hi for the change of residential address on NRIC do I have to do it personally or I can pass the NRIC to somebody to submit on behalf with the documentary proof Tq,ICA
3101,What are the tax rates,IRAS IIT
3102,Can I check when is my next reservist date for my unit,MINDEF
3103,How to take away maid levy from my tax deduction,IRAS IIT
3104,who should apply for GST refund from customs,IRAS GST
3105,Hi can the mother of the child collect the passport I am the father who applied,ICA
3106,invoice care of,IRAS GST
3107,how to find courses that has been approved by SSG,SSG
3108,I am over 40 years old Singapore citizen and currently doing a parttime postgraduate course in NTU but this course is selffunded can I still apply for this SSG,SSG
3109,how do i apply to withdraw the psea font?,MOE
3110,I am 20 and pr can I apply citizenship,ICA
3111,what do you call the pink card,ICA
3112,payment receipt for evisa by credit card,ICA
3113,FORM TO CHANGE BANK ACCOUNTS FOR CORPORATE TAX AND GST,IRAS GST
3114,Hi Ive booked an ippt slot for today but my name was not recorded,MINDEF
3115,How do I appeal against my pr application,ICA
3116,Hi Why is SFA called Singapore Food Agency,AVA
3117,Notice of assessment for self employed,IRAS IIT
3118,I am currently trying to apply for PR online but encountering some problems,ICA
3119,Can I request for tax reduction or extension if I am just been laid off and I have my housing mortgage and family bills to pay,IRAS IIT
3120,What is the address to get my certification of clearance,SPF
3121,May I collect my passport without bringing the old passport,ICA
3122,Do i need to apply police permit if i have a religious camp games in public,SPF
3123,I HAVE A LAYOVER IN SINGAPORE OF 7 Hrs 45 min while going from new Delhi to beijing,ICA
3124,How do i differ ns for my poly studies,MINDEF
3125,I cant renew my road tax,LTA
3126,may i check how could i purchase the full set of financial statements or annual report for SMRT Corporation Ltd,ACRA
3127,can i do late filing for 2017,ACRA
3128,What happens when it rains before remedial training,MINDEF
3129,Do the foreign company need to apply the COR in their own country in order to enjoy the 0 withholding tax,IRAS IIT
3130,Email to avs,AVA
3131,Im collecting my new passport tomorrow do i need to bring my existing passport,ICA
3132,2018 psle,MOE
3133,i need to print my official transcript,MOE
3134,What files do I upload,SSG
3135,I would like to check whether a type of modification is allowed,LTA
3136,lost my olevel cert,MOE
3137,Some company bills not mention GST Amount How to I know the company is GST REgistered or not,IRAS GST
3138,if nuisance caller kept calling our tuition centre what should we do to stop the harrassment,SPF
3139,how to pay my fine over eservices,SPF
3140,Hi recd multiple entry visa to enter singapore How many time i can enter singapire each entry how long i can stay,ICA
3141,I have submitted my income tax can I still make some changes,IRAS IIT
3142,How can my organisation apply to be an approved Training provider under SSG,SSG
3143,can I get my confirmation of payment online,IRAS IIT
3144,i am in Junior College now do i need deferment,MINDEF
3145,I need customer care officer,IRAS IIT
3146,can I apply for conversion on the date i pass mt BTT,SPF
3147,where is MOE KINDERGARTEN MOE Kindergarten,MOE
3148,subscription fee of ACRA,ACRA
3149,Does the long term pass include a Permanent Residence Card Green Card from United States for the purposes of VFTF,ICA
3150,Hi I would like to check the outcome of my pcp applications. I applied on 12 April and now is 26 July I have yet to get any update.,SSG
3151,Where can I find my IU number,LTA
3152,I am planning to travel to Australia via singapore,ICA
3153,how many times we can change the financial year end,ACRA
3154,Hi I own a 3room HDB unit near my parents The address on my NRIC is my parents house Do I need to change the address if I am residing at my parents house mostly,ICA
3155,my passport have expire long ago and I have dispose few year back can I still apply for renewal without old passport expire date,ICA
3156,I want to change company director Is it possible,ACRA
3157,How do i know if i need to audit my financial statement,ACRA
3158,hello Jamie Like to make an appeal of for a traffic violation Pls give me the email fax or the mailing address,SPF
3159,What is the PostSecondary Education Account PSEA How can it be used,MOE
3160,Where to take the registration mark and identification mark,LTA
3161,Where do I file GST,IRAS GST
3162,how do i apply to dsa,MOE
3163,can malaysia car apply more VEP,LTA
3164,Put 2nd rider,LTA
3165,appeal on company name,ACRA
3166,renew my buisness,ACRA
3167,i cant find the annual return formplease which column to get,ACRA
3168,hi jamie how do i buy the business profile of a company in singapore,ACRA
3169,got email to resubmit photo but my application status is in process no option for me to resubmit photo,ICA
3170,if my customer brings in the goods to singapore themselves do i need to charge them gst,IRAS GST
3171,Hi May I know where can I download a sample of the MOA and AOA,ACRA
3172,Difference between QCR and PTR,IRAS IIT
3173,can i check my tax,IRAS IIT
3174,what is Notice of Error,ACRA
3175,Hi I have not been called up for reservist for 15 years until this coming July and Sept my uniform and accessories eg helmet SBO field pack etc are all outdated,MINDEF
3176,may i know how to apply for import permit of processed food and food appliances,AVA
3177,What time will we get the sms for balloting result,MOE
3178,can I make online report for my lost of companys badge,SPF
3179,Tax implication for overseas Contract for Service,IRAS IIT
3180,i need to register in ICA for applying job in Sing pass,ICA
3181,how come my email is not updated in the portal,MINDEF
3182,How do I apply for the new ID,ICA
3183,I am unable to view my Tax amount when logged in through IRAS,IRAS IIT
3184,can I claim relief for my child university course fee,IRAS IIT
3185,Tenancy agreement specify rental payable and GST payable Does the landlord need to issue invoice for us to claim input gst,IRAS GST
3186,walk in to mcc,MINDEF
3187,Hi Im a Malaysian and holding an Employment Pass in Singapore can I drive Malaysia registered vehicle to Singapore,LTA
3188,how to check parf,LTA
3189,Can work permit holder own a vehicle in singapore,LTA
3190,PR application supporting documents,ICA
3191,May I check can we claim input GST on rental car,IRAS GST
3192,I receive an sms from cm885678com Jason 86452945 on online betting My number is being compromised n I wanna report this,SPF
3193,Has my assessment been finalized,IRAS IIT
3194,How i want to get my road tax reciet,LTA
3195,Is GST claimable for insurance premium for Public Liability Policy,IRAS GST
3196,Hey there just theoretical question about 205C 1 section wondering whether given any proving certificateDocument after the Company qualified as small Company,ACRA
3197,i cant proceed to view statement,IRAS IIT
3198,differences between WSQ and Non-WSQ.,SSG
3199,I noticed that the mobile phone number on the transfer confirmation form was wrongand I thought I could change it after I have completed the confirmation But I cld not,LTA
3200,how do i update my fax filing,IRAS IIT
3201,How do I apply for a new IC,ICA
3202,May i know rent of fixture and fitting need to declare under GST deemed of supplier,IRAS GST
3203,contact number of department incharge of coc,SPF
3204,Credit card payment for coe renewal,LTA
3205,I need to endorse for the newly set up partnership but miss the date what shall I do,ACRA
3206,Hi I like to make a copy of my NS certificate because I have misplaced it,MINDEF
3207,How do I pay for coe renewal online,LTA
3208,income tax filing form,IRAS IIT
3209,What is the contact number of SFA for queries,AVA
3210,can we claim GST for training courses fee please advise,IRAS GST
3211,where to get certificate of incorporation,ACRA
3212,lta scooter,LTA
3213,How to apply O levels result slip,MOE
3214,How should I report employee income,IRAS IIT
3215,help me confirm non UL2272 can register,LTA
3216,Ex staff has left the country and no longer holding local bank account,IRAS IIT
3217,hi i want to ask about this b message. i sent to the phone right?,MOE
3218,wring information on visa,ICA
3219,How do i check the teacher in that moe kindergarten waterway primary MOE Kindergarten,MOE
3220,I want to meet a coach,SSG
3221,my wp worker resigned do i have to file the tax,IRAS IIT
3222,Morning May I know if we need to apply the entertainment license for arcade machine We just put the basketball arcade machine at our shop for one month,SPF
3223,Cost of car registered in april,LTA
3224,How do I check what time is my checkup,MINDEF
3225,WHAT TO DO AFTER EMAIL CONFIRMATION RECEIVED FOR COC,SPF
3226,I would like to find out more on how we can be a training provider,SSG
3227,where can i find my cars log card,LTA
3228,how to fill up reassesment form non residence to residence on section B,IRAS IIT
3229,Under my total other income i hae a rent from property which shows a amount of 24685 for gross rent How does iras get this amount,IRAS IIT
3230,Hi We would like to change our son Chinese name character We have done the deed poll with a lawyer What is the next procedure at ICA,ICA
3231,No payment received,MINDEF
3232,how do I make withdrawals for enrichment,MOE
3233,I dont have a copy of microchip certificate,AVA
3234,Memorandum and Articles of Association,ACRA
3235,How can I apply for a transit visa to Singapore,ICA
3236,Iras accounting period,IRAS IIT
3237,Good morning I am already a registered sole proprietor as SARA T T How to get a hard copy of my company registration,ACRA
3238,exhaust approval,LTA
3239,i wish to cancel my giro tax payment,IRAS IIT
3240,topping up skillsfuture,SSG
3241,transfer of escoot ownership,LTA
3242,CAN WE ISSUE CREDIT NOTE ON GST,IRAS GST
3243,If I do not leave the transit area of the airport Changi must my passport be valid 6 month after the departure date Flight Zurich Darwin,ICA
3244,how to know the vehicle was deregistered,LTA
3245,For pr application did you update everyday,ICA
3246,I would like to renew my passport but it is not due for expiry or running out of pages yet,ICA
3247,Unable to pay aftr login in with Sing pass,AVA
3248,Can i hv the email address to contact your,ICA
3249,Landscape courses,SSG
3250,my passport validity is until 23 January 2020,ICA
3251,What is the email address of GST department,IRAS GST
3252,can we have health screening before enlistment,MINDEF
3253,I Want to know how much I owe income tax,IRAS IIT
3254,how do iprint receipt for payment,LTA
3255,how can I claim wholesome on pack,AVA
3256,Hi I want to know if a company is really registered or not,ACRA
3257,My car coe expiring in june 2019,LTA
3258,Business renewer,ACRA
3259,passbook pages ending,ICA
3260,Whats the opening hours of pasir panjang wholesale centre,AVA
3261,for august coe bidding is on which date 5th august,LTA
3262,40 years old year or birthday,SSG
3263,Im Malaysian can i register open a company in Singapore,ACRA
3264,My tax status has been processing for quite some time how should I proceed with making a tax payment,IRAS IIT
3265,road tax due but not knowledge due to no hard copy renewal received,LTA
3266,interest subject to gst,IRAS GST
3267,can i claim for parent relief if i am staying with my mother,IRAS IIT
3268,Can I claim for chocolate and food GST,IRAS GST
3269,where is the mindef medical centtre,MINDEF
3270,how is my appeal situation,LTA
3271,ICA medical Examination report,ICA
3272,junior college admission,MOE
3273,which number should I dial,IRAS IIT
3274,My road tax is due on 1 Jul May I know when is the earliest I could renew my road tax Thanks,LTA
3275,Requirement for filling F7,IRAS GST
3276,How to find the telephone number of Teledata Singapore Limited,ACRA
3277,I am trying to buy business profile online,ACRA
3278,Where is Springdale kinder ten MOE Kindergarten,MOE
3279,change ic photo,ICA
3280,pre enlistment medical review,MINDEF
3281,update assessable income,IRAS IIT
3282,I would like to check my passport renewal status which I submitted a hardcopy of the form to ICA few weeks ago,ICA
3283,I like to file my income tax,IRAS IIT
3284,how long the passport will be ready after application,ICA
3285,I m keen to pursue a Masters in Special Education Please advise which courses are entitled to the career advance subsidy for 40 years old and above Thank you,SSG
3286,Singapore Permanent Resident need to file IR21,IRAS IIT
3287,How do I pay road tax on line,LTA
3288,how much does the business profile cost at acra service counters,ACRA
3289,hello how can I have the details about my other employment income,IRAS IIT
3290,Where is LTA located,LTA
3291,Endorse Medical Questionnaire eService,MINDEF
3292,Hi may I know when will we know if the school required balloting for the different category,MOE
3293,Escooter register,LTA
3294,I need ltapaper,LTA
3295,Where can I get new escooter registration mark if it is damaged,LTA
3296,Do retirees need to file income tax,IRAS IIT
3297,how to email iras,IRAS IIT
3298,Can we claim life insurance premiums for tax relief,IRAS IIT
3299,need to submit IR8A for internship,IRAS IIT
3300,I want to register my vehicle on LTA,LTA
3301,UEN NO OF THE COMPANY IS 200913951D I WANT TO K NOW ABOUT THE COMPANY WHETHER IT IS ACTIVE,ACRA
3302,de register P Plate,LTA
3303,How to change my address during Permanent Residence application,ICA
3304,How do I withdraw my investments from SRS account whithout having to liquidate,IRAS IIT
3305,allowance for volunteering,IRAS IIT
3306,To register for job fair,SSG
3307,Can i update passport photo,ICA
3308,if my shareholding change must i file acra,ACRA
3309,worker without Singpass how to apply PDL,SPF
3310,Can a Malaysian driving license use in Singapore,SPF
3311,As Indian national could I visit singapore for 3 4 days with VFTF,ICA
3312,buy goods with gst,IRAS GST
3313,can you provide the customer hotline so I can talk to someone and she can answer me over the phone,IRAS IIT
3314,do i need to file dividend for my boss,IRAS IIT
3315,Not able to collect students pass,ICA
3316,Our car plate retention will due for renewal May I confirm that I can only extend every 6 months What is the retention fee the 2nd time Can only apply at LTA counter,LTA
3317,new director to endorse,ACRA
3318,Hiwould like to check If i am registering online do i need to attach the relevant documents in softcopy Or will submit the documents once i got into that Pri sch,MOE
3319,I am a Singapore PR and obtained my PR status 3 years ago I am a malaysian citizen with a Malaysian Driving License I would like to convert my license to Singapore,SPF
3320,I need my vehicles details how to get it,LTA
3321,From my GIRO,IRAS IIT
3322,Hi I need to defer for retake of Internatioal baccuerate,MINDEF
3323,how to register power assisted bicycle,LTA
3324,how do I claim for maid levy,IRAS IIT
3325,Do I have to declare income from my unit trusts,IRAS IIT
3326,Do children get to nap in kcare MOE Kindergarten,MOE
3327,children school fees taxable,IRAS IIT
3328,how to submit the TG grant application on the declaration page,SSG
3329,Transfer of REP and Renew of REP can do same time,ICA
3330,im paying my taxes by giro however i would like to pay remainder in cash how can i do it,IRAS IIT
3331,Hi Jamie I would like to track a motorcycle owner,LTA
3332,how long would the fine or charges be posted online for viewing after being caught for traffic offence,SPF
3333,internship pay tax,IRAS IIT
3334,where can i print more insurance cover note,LTA
3335,Can I appeal for my late efiling,IRAS IIT
3336,how to become a WSQ and non-WSQ Approved Training Organisation ATO,SSG
3337,I would like to inquire status of COC Application No 91832018,SPF
3338,I would like to renew my roadtax,LTA
3339,EDDIES not working,SPF
3340,She was advised by IRAS that my company needs to provide the Adoption Order that she has sent to us in order to enjoy the reliefs,IRAS IIT
3341,why is my working mother child relief not reflected,IRAS IIT
3342,can i director act as a company secretary,ACRA
3343,Do i get paid for mob manning call up,MINDEF
3344,QDL application is stuck at conformation,SPF
3345,filing dealine of branch accounts,ACRA
3346,how can pay my offence,SPF
3347,How do i sign up for employment assistance,SSG
3348,my younger child is a foreignermy elder one is studying in primary schoolwhich phase should i register,MOE
3349,can I use the IPA letter from Tailand to Singapore,ICA
3350,How to utilise the PTR amount to offset against my income tax,IRAS IIT
3351,How much Amount of child Relief I can add,IRAS IIT
3352,Parf coe rabate,LTA
3353,how to claim bad debt relief,IRAS GST
3354,I want to set up a company in Singapore but cannot decide if I should do private limited o LLP,ACRA
3355,How to update vep motorcycle Malaysia,LTA
3356,am i correct that citizens of DENMARK need no visa to enter Singapore as tourists,ICA
3357,I Have submitted application for NRIC reregistration at age 55 since 25519 yet to receive any notification,ICA
3358,to test mineral water drinking,AVA
3359,Can i pay giro,IRAS IIT
3360,What if Pte Ltd cannot get back the same name,ACRA
3361,Hi can i have a copy of my ippt result I need to submit to my company,MINDEF
3362,how tolive chat,IRAS GST
3363,how to know if the company is under DIRECT scheme for MS pay claim,MINDEF
3364,I intend to keep my old car what is the process of renew COE,LTA
3365,can i change my existing company name,ACRA
3366,Are 2018 P1 registration exercise for 2019 Jan enter p1,MOE
3367,any traffic jams on route to airport,LTA
3368,hello may i know where do i print out my PDL,SPF
3369,can i use my skillsfuture credit for driving course,SSG
3370,Roadtax expired date,LTA
3371,i cannot update my personal particulars,MINDEF
3372,hello Jamie On the 19th of July we have a stop over for 12 ours at shagi airport Can we exit to the city for a tour or we have to stay at the airport transit,ICA
3373,card log card,LTA
3374,Exit permit for pr,MINDEF
3375,how do i withdraw the money?,MOE
3376,submit photo in person for passport renewal,ICA
3377,We want to apply for eVisit Visas to Singapore from 26july to 30 July 2019,ICA
3378,What is the address of the COC office,SPF
3379,I would like to know the steps to renew passport,ICA
3380,Is it possible to pay by credit card or AXS,IRAS IIT
3381,Please provide me the email address to the police,SPF
3382,dun understand why GIRO deduction fail,IRAS IIT
3383,How to find the vehicle details,LTA
3384,Hows can I download a police report,SPF
3385,but at e services which part i must click to check my demerit points,SPF
3386,Why am i not paid for ipt session,MINDEF
3387,what is the PCPPT program,SSG
3388,I would like to speak to a customer service representative,AVA
3389,Whats Singapore Government policies towards those foreigners apply for citizenship and they have asset in their original country Should they dispose the asset,ICA
3390,hotline on passport,ICA
3391,How to look for a Singapore register Company,ACRA
3392,Hi if I charge consultancy fees to my oversea subsidiary do we need to pay withholding tax,IRAS IIT
3393,is stamp duty an exempt supply,IRAS GST
3394,FIXED ENTRY TOLL,LTA
3395,Company register in skills connect,SSG
3396,I am a nonSingapore citizen that studies in a government mainstream school and none of my parents have SingPass How do I apply for DSA,MOE
3397,What is license if my company only wants to sell liquor to their customer without consumption of it in your business premises,SPF
3398,How can i check for my ns payslip,MINDEF
3399,I bought eday license how to check is updated,LTA
3400,I AM FOREIGNER CAN I CLAIM FOR PTR,IRAS IIT
3401,Pay GIRO,IRAS IIT
3402,statute for share transfer,ACRA
3403,What achievements for leadership can i submit,MOE
3404,I want to scrap my vehicle next month what should l do,LTA
3405,I will like to send my daughter to the pre school full day care She turning 2yrs old in Dec 2019 MOE Kindergarten,MOE
3406,how do we know the company name is struck off the companies names register,ACRA
3407,if stay is less then 183 days what is the tax rate,IRAS IIT
3408,Can I get a list of visa exemption countries,ICA
3409,difference between Escooter,LTA
3410,passport approve or reject,ICA
3411,hello i had worked in Singapore from 2008 to 2014 now i am planning to go USA and the government ased me to get COC from singapore currently i am in Yangon Myanmar,SPF
3412,how employer claim makeup pay,MINDEF
3413,food packaging import license,AVA
3414,Profilings for myself,SSG
3415,Is the application for autopass is online or walk in,LTA
3416,I have just purchase the ACRA and till now the email hasnt reach me,ACRA
3417,Could I check the COE number on behalf of my wife,LTA
3418,Tax rebate available,IRAS IIT
3419,as a foreigner can i claim insurance relief,IRAS IIT
3420,can i claim child relief if my child is 21 years old,IRAS IIT
3421,How to claim training course fee funding whatj,SSG
3422,How can I check when my re entry permit will expired,ICA
3423,I want to do catering from house,AVA
